name,position,value,p_avail_at_88,p_avail_at_105,p_avail_at_116,p_avail_at_125,p_avail_at_136,p_avail_at_145
Dak Prescott,QB,6.750729941086178,1.0,0.444,0.32625,0.193875,0.14975,0.10825
Wan'Dale Robinson,WR,6.366214107905339,1.0,0.074375,0.00775,0.001,0.0,0.0
Jakobi Meyers,WR,6.292464674343118,1.0,0.09075,0.011,0.001875,0.000125,0.0
Quentin Johnston,WR,5.848660116757597,1.0,0.21,0.04225,0.00875,0.0005,0.0
Patrick Mahomes,QB,5.814354847552749,1.0,0.726875,0.623,0.493375,0.4145,0.342875
Bo Nix,QB,5.747689138692299,1.0,0.744625,0.638125,0.514125,0.43775,0.3665
Jared Goff,QB,5.6208548475527484,1.0,0.774375,0.68225,0.571625,0.49425,0.424875
Jaxson Dart,QB,5.531354847552748,1.0,0.785,0.69,0.57925,0.49975,0.430625
Matthew Stafford,QB,5.489354847552752,1.0,0.80625,0.7165,0.60925,0.5295,0.458625
Justin Herbert,QB,5.452854847552748,1.0,0.809875,0.721375,0.61025,0.5315,0.4555
Trevor Lawrence,QB,5.333354847552748,1.0,0.825625,0.733875,0.635,0.562,0.490375
Alec Pierce,WR,5.2287089617977545,1.0,0.433,0.169,0.064625,0.012,0.003
Stefon Diggs,WR,4.753033801097173,1.0,0.60525,0.347625,0.186125,0.060875,0.020375
Josh Downs,WR,4.713033801097173,1.0,0.629,0.353,0.195875,0.07075,0.026375
Brock Purdy,QB,4.572854847552748,1.0,0.918,0.86975,0.809875,0.753375,0.694125
Michael Wilson,WR,4.473033801097173,1.0,0.6955,0.444875,0.272625,0.114875,0.0485
Rico Dowdle,RB,4.421666052831662,1.0,0.179625,0.03275,0.006875,0.001375,0.0
Deebo Samuel Sr.,WR,4.388064788882858,1.0,0.723625,0.48125,0.313375,0.147125,0.068375
Jayden Reed,WR,4.215533801097173,1.0,0.76775,0.54325,0.3745,0.193375,0.098375
Khalil Shakir,WR,4.195564788882858,1.0,0.754875,0.543875,0.381,0.2,0.098875
