k,name,exp_pick,position,adp,final,post_SD_bl,model_rank,adp_rank,league_rank,vs_adp,vs_league
jahmyr gibbs,Jahmyr Gibbs,1.0,RB,1.6,14.4531721519235,0.8333523402279932,1,1,1,0,0
bijan robinson,Bijan Robinson,2.0,RB,2.0,13.821677323222788,1.8634324819583257,2,2,2,0,0
jamarr chase,Ja'Marr Chase,3.0,WR,3.9,11.240408049156652,1.778530032823029,5,4,3,-1,-2
puka nacua,Puka Nacua,4.0,WR,2.9,10.957852174961085,1.3048537371403144,6,3,4,-3,-2
christian mccaffrey,Christian McCaffrey,5.0,RB,5.3,12.319095975299009,1.578594969183806,3,5,5,2,2
jaxon smith-njigba,Jaxon Smith-Njigba,6.0,WR,5.9,9.94340318377048,1.3048537371403144,11,6,6,-5,-5
amon-ra st brown,Amon-Ra St. Brown,7.0,WR,7.0,11.42838272925538,1.2576106467530963,4,7,7,3,3
jonathan taylor,Jonathan Taylor,8.0,RB,7.5,10.872391649003962,1.255970121704577,7,8,8,1,1
james cook,James Cook III,9.0,RB,15.1,10.33537790812382,1.2828627350574386,8,16,9,8,1
omarion hampton,Omarion Hampton,10.0,RB,19.8,9.85224215016056,1.0696938705017496,12,20,10,8,-2
chase brown,Chase Brown,11.0,RB,12.2,10.246862438909249,1.8634324819583257,9,13,11,4,2
ceedee lamb,CeeDee Lamb,12.0,WR,11.3,8.877492759819361,1.2494371745972588,18,11,12,-7,-6
devon achane,De'Von Achane,13.0,RB,9.4,10.162391649003965,1.3176457442760108,10,9,13,-1,3
kenneth walker,Kenneth Walker,14.0,RB,26.5,9.222474086753378,1.2828627350574386,16,26,14,10,-2
ashton jeanty,Ashton Jeanty,15.0,RB,14.1,8.466146354617408,1.6913345149533652,19,15,15,-4,-4
saquon barkley,Saquon Barkley,16.0,RB,18.7,9.775377908123822,1.2491329848121426,14,19,16,5,2
justin jefferson,Justin Jefferson,17.0,WR,13.3,7.5613974427993,1.766970997648564,28,14,17,-14,-11
aj brown,A.J. Brown,18.0,WR,17.5,7.629830858569163,1.7611435570030975,26,18,18,-8,-8
brock bowers,Brock Bowers,19.0,TE,40.7,3.4570017417078764,1.52968210228767,75,41,19,-34,-56
derrick henry,Derrick Henry,20.0,RB,16.1,9.82033495714897,1.764113144956838,13,17,20,4,7
jeremiyah love,Jeremiyah Love,21.0,RB,25.6,7.84247408675338,1.8629337765162663,24,25,21,1,-3
george pickens,George Pickens,22.0,WR,21.6,7.669168398839583,1.2736933955839511,25,22,22,-3,-3
drake london,Drake London,23.0,WR,10.6,7.915060472993442,1.2736933955839511,21,10,23,-11,2
malik nabers,Malik Nabers,24.0,WR,33.9,6.366454389970743,1.7247286778820845,37,35,24,-2,-13
nico collins,Nico Collins,25.0,WR,23.2,7.021799605562706,1.778530032823029,30,23,25,-7,-5
chris olave,Chris Olave,26.0,WR,20.1,6.486633511539615,1.8012744743398634,36,21,26,-15,-10
rashee rice,Rashee Rice,27.0,WR,11.4,9.114443751750867,1.3048537371403144,17,12,27,-5,10
devonta smith,DeVonta Smith,28.0,WR,29.1,7.166038144462313,1.2576106467530963,29,31,28,2,-1
ladd mcconkey,Ladd McConkey,29.0,WR,44.2,6.308320812725115,1.3635177419795652,39,45,29,6,-10
trey mcbride,Trey McBride,30.0,TE,35.3,4.126355574149943,1.4316371787873126,71,37,30,-34,-41
emeka egbuka,Emeka Egbuka,31.0,WR,33.7,6.584324221694448,1.3779289191939377,34,34,31,0,-3
tee higgins,Tee Higgins,32.0,WR,39.2,5.691132420425303,1.766970997648564,44,40,32,-4,-12
luther burden,Luther Burden III,33.0,WR,53.4,5.440300315228955,1.3779289191939377,46,55,33,9,-13
travis etienne,Travis Etienne Jr.,34.0,RB,37.1,9.75368567084096,0.8113536336269288,15,39,34,24,19
