rank_theta,player,adp,adp_rank,tier,mu_hat,n_eff,V,m_adp,tau2,B,theta_star,post_SD,delta_rank_vs_adp
1,Puka Nacua,2.8,1,vet,21.2675,2.3333,18.489083953601074,19.556530987394957,11.253901674718662,0.6216283793647375,20.20391310555104,2.644947005061815,0
2,Ja'Marr Chase,3.9,2,vet,20.2337,2.8182,15.307848835759486,19.556530987394957,11.253901674718662,0.5763117468376494,19.84343954344126,2.5467146940511927,0
3,Amon-Ra St. Brown,7.6,4,vet,19.551,2.8182,15.307848835759486,17.943725961538462,11.253901674718662,0.5763117468376494,18.624709091247425,2.5467146940511927,1
4,Jaxon Smith-Njigba,6.1,3,vet,17.6084,2.3333,18.489083953601074,18.379251629089865,11.253901674718662,0.6216283793647375,18.0875832489218,2.644947005061815,-1
5,CeeDee Lamb,10.6,6,vet,17.7202,2.9077,14.83666801559218,17.943725961538462,11.253901674718662,0.5686601784361197,17.847310313173566,2.529752109288193,1
6,Justin Jefferson,10.0,5,vet,15.597,2.9077,14.83666801559218,17.943725961538462,11.253901674718662,0.5686601784361197,16.931489604029135,2.529752109288193,-1
7,Rashee Rice,27.3,15,vet,18.7997,2.3333,18.489083953601074,14.881502854988153,11.253901674718662,0.6216283793647375,16.364037458714744,2.644947005061815,8
8,A.J. Brown,14.2,8,vet,16.2838,2.9535,14.606595425406258,16.42261932202348,11.253901674718662,0.5648226856913628,16.362208302291155,2.5212018896592,0
9,Drake London,12.6,7,vet,15.6643,2.6471,16.297298775617612,16.45199947994733,11.253901674718662,0.5915277196358497,16.130246077131588,2.580115267706542,-2
10,George Pickens,17.4,9,vet,14.6795,2.6471,16.297298775617612,16.42261932202348,11.253901674718662,0.5915277196358497,15.710603397609738,2.580115267706542,-1
11,Nico Collins,23.2,11,vet,15.531,2.8182,15.307848835759486,15.39774859415863,11.253901674718662,0.5763117468376494,15.454205649530987,2.5467146940511927,0
12,Davante Adams,40.0,20,vet,16.8073,2.9985,14.387386889757341,14.318447404719464,11.253901674718662,0.5611023351490197,15.410798996946394,2.5128848977265363,8
13,Chris Olave,21.2,10,vet,15.0706,2.6471,16.297298775617612,15.39774859415863,11.253901674718662,0.5915277196358497,15.26411746188473,2.580115267706542,-3
14,Tee Higgins,26.4,13,vet,15.0412,2.9077,14.83666801559218,14.881502854988153,11.253901674718662,0.5686601784361197,14.950386593021824,2.529752109288193,-1
15,Zay Flowers,25.4,12,vet,13.7935,2.3333,18.489083953601074,15.39774859415863,11.253901674718662,0.6216283793647375,14.790746453684987,2.644947005061815,-3
16,Garrett Wilson,27.0,14,vet,14.0504,2.6471,16.297298775617612,14.881502854988153,11.253901674718662,0.5915277196358497,14.542020376593985,2.580115267706542,-2
17,Malik Nabers,43.6,22,vet,15.5967,1.8,23.96698866052077,13.894337842606388,11.253901674718662,0.680476513580384,14.438282534285614,2.767312012728055,5
18,Tetairoa McMillan,33.4,17,soph,12.5529,1.0,39.731751511831725,14.626785714285711,7.852390682341091,0.834978832857836,14.284550673194822,2.5605819664843597,-1
19,DeVonta Smith,28.5,16,vet,13.2465,2.8182,15.307848835759486,14.881502854988153,11.253901674718662,0.5763117468376494,14.188771351442767,2.5467146940511927,-3
20,Mike Evans,51.2,26,vet,13.6624,2.9985,14.387386889757341,13.894337842606388,11.253901674718662,0.5611023351490197,13.79254086509587,2.5128848977265363,6
21,Ladd McConkey,35.3,18,vet,12.5562,1.8,23.96698866052077,14.318447404719464,11.253901674718662,0.680476513580384,13.755367970029582,2.767312012728055,-3
22,Terry McLaurin,36.6,19,vet,12.8171,2.9535,14.606595425406258,14.318447404719464,11.253901674718662,0.5648226856913628,13.665095073289404,2.5212018896592,-3
23,Emeka Egbuka,45.5,24,soph,11.5118,1.0,39.731751511831725,13.894337842606388,7.852390682341091,0.834978832857836,13.501168667059108,2.5605819664843597,1
24,Jameson Williams,47.2,25,vet,12.6493,2.6471,16.297298775617612,13.894337842606388,11.253901674718662,0.5915277196358497,13.385774395897293,2.580115267706542,1
25,Jaylen Waddle,42.2,21,vet,12.5428,2.8182,15.307848835759486,13.894337842606388,11.253901674718662,0.5763117468376494,13.321707134989676,2.5467146940511927,-4
26,Luther Burden III,45.2,23,soph,9.7154,1.0,39.731751511831725,13.894337842606388,7.852390682341091,0.834978832857836,13.204724642404926,2.5605819664843597,-3
27,DK Metcalf,56.2,28,vet,12.9339,2.9535,14.606595425406258,12.543744208908237,11.253901674718662,0.5648226856913628,12.713531158237512,2.5212018896592,1
28,Christian Watson,60.1,30,vet,11.954,2.6471,16.297298775617612,12.543744208908237,11.253901674718662,0.5915277196358497,12.302850047063938,2.580115267706542,2
29,Rome Odunze,54.9,27,vet,10.9578,1.8,23.96698866052077,12.654763482259762,11.253901674718662,0.680476513580384,12.11254379408135,2.767312012728055,-2
30,Alec Pierce,59.4,29,vet,10.7484,2.6471,16.297298775617612,12.543744208908237,11.253901674718662,0.5915277196358497,11.810395865856918,2.580115267706542,-1
