rank_final,player,adp,adp_rank,tier,theta_star_blind,V_final,post_SD,delta_rank_vs_adp,delta_rank_vs_blind,edge_terms_applied
1,Puka Nacua,2.8,1,vet,20.20391310555104,20.20391310555104,2.644947005061815,0,0,none (no term survived FDR + temporal holdout)
2,Ja'Marr Chase,3.9,2,vet,19.84343954344126,19.84343954344126,2.5467146940511927,0,0,none (no term survived FDR + temporal holdout)
3,Amon-Ra St. Brown,7.6,4,vet,18.624709091247425,18.624709091247425,2.5467146940511927,1,0,none (no term survived FDR + temporal holdout)
4,Jaxon Smith-Njigba,6.1,3,vet,18.0875832489218,18.0875832489218,2.644947005061815,-1,0,none (no term survived FDR + temporal holdout)
5,CeeDee Lamb,10.6,6,vet,17.847310313173566,17.847310313173566,2.529752109288193,1,0,none (no term survived FDR + temporal holdout)
6,Justin Jefferson,10.0,5,vet,16.931489604029135,16.931489604029135,2.529752109288193,-1,0,none (no term survived FDR + temporal holdout)
7,Rashee Rice,27.3,15,vet,16.364037458714744,16.364037458714744,2.644947005061815,8,0,none (no term survived FDR + temporal holdout)
8,A.J. Brown,14.2,8,vet,16.362208302291155,16.362208302291155,2.5212018896592,0,0,none (no term survived FDR + temporal holdout)
9,Drake London,12.6,7,vet,16.130246077131588,16.130246077131588,2.580115267706542,-2,0,none (no term survived FDR + temporal holdout)
10,George Pickens,17.4,9,vet,15.710603397609738,15.710603397609738,2.580115267706542,-1,0,none (no term survived FDR + temporal holdout)
11,Nico Collins,23.2,11,vet,15.454205649530987,15.454205649530987,2.5467146940511927,0,0,none (no term survived FDR + temporal holdout)
12,Davante Adams,40.0,20,vet,15.410798996946394,15.410798996946394,2.5128848977265363,8,0,none (no term survived FDR + temporal holdout)
13,Chris Olave,21.2,10,vet,15.26411746188473,15.26411746188473,2.580115267706542,-3,0,none (no term survived FDR + temporal holdout)
14,Tee Higgins,26.4,13,vet,14.950386593021824,14.950386593021824,2.529752109288193,-1,0,none (no term survived FDR + temporal holdout)
15,Zay Flowers,25.4,12,vet,14.790746453684989,14.790746453684989,2.644947005061815,-3,0,none (no term survived FDR + temporal holdout)
16,Garrett Wilson,27.0,14,vet,14.542020376593983,14.542020376593983,2.580115267706542,-2,0,none (no term survived FDR + temporal holdout)
17,Malik Nabers,43.6,22,vet,14.438282534285614,14.438282534285614,2.767312012728055,5,0,none (no term survived FDR + temporal holdout)
18,Tetairoa McMillan,33.4,17,soph,14.284550673194822,14.284550673194822,2.5605819664843597,-1,0,none (no term survived FDR + temporal holdout)
19,DeVonta Smith,28.5,16,vet,14.188771351442767,14.188771351442767,2.5467146940511927,-3,0,none (no term survived FDR + temporal holdout)
20,Mike Evans,51.2,26,vet,13.79254086509587,13.79254086509587,2.5128848977265363,6,0,none (no term survived FDR + temporal holdout)
21,Ladd McConkey,35.3,18,vet,13.755367970029582,13.755367970029582,2.767312012728055,-3,0,none (no term survived FDR + temporal holdout)
22,Terry McLaurin,36.6,19,vet,13.665095073289404,13.665095073289404,2.5212018896592,-3,0,none (no term survived FDR + temporal holdout)
23,Emeka Egbuka,45.5,24,soph,13.501168667059108,13.501168667059108,2.5605819664843597,1,0,none (no term survived FDR + temporal holdout)
24,Jameson Williams,47.2,25,vet,13.385774395897291,13.385774395897291,2.580115267706542,1,0,none (no term survived FDR + temporal holdout)
25,Jaylen Waddle,42.2,21,vet,13.321707134989676,13.321707134989676,2.5467146940511927,-4,0,none (no term survived FDR + temporal holdout)
26,Luther Burden III,45.2,23,soph,13.204724642404926,13.204724642404926,2.5605819664843597,-3,0,none (no term survived FDR + temporal holdout)
27,DK Metcalf,56.2,28,vet,12.713531158237512,12.713531158237512,2.5212018896592,1,0,none (no term survived FDR + temporal holdout)
28,Christian Watson,60.1,30,vet,12.302850047063938,12.302850047063938,2.580115267706542,2,0,none (no term survived FDR + temporal holdout)
29,Rome Odunze,54.9,27,vet,12.11254379408135,12.11254379408135,2.767312012728055,-2,0,none (no term survived FDR + temporal holdout)
30,Alec Pierce,59.4,29,vet,11.810395865856918,11.810395865856918,2.580115267706542,-1,0,none (no term survived FDR + temporal holdout)
