rank_theta,player,team,adp,adp_rank,tier,mu_hat,n_eff,V,m_adp,tau2,B,theta_star,post_SD,delta_rank_vs_adp,edge_terms_applied
1,Puka Nacua,LAR,2.9,1,vet,21.267494270435446,2.3333333333333335,18.48881982383031,19.556530987394957,11.253901674718662,0.6216250192415077,20.203916686693887,2.6449398566109257,0,none (no term survived FDR + temporal holdout)
2,Ja'Marr Chase,CIN,3.9,2,vet,20.23370018975332,2.8181818181818183,15.307947596074555,19.556530987394957,11.253901674718662,0.5763133221641618,19.84343855707492,2.5467181747232916,0,none (no term survived FDR + temporal holdout)
3,Amon-Ra St. Brown,DET,7.0,4,vet,19.551040480708412,2.8181818181818183,15.307947596074555,18.379251629089865,11.253901674718662,0.5763133221641618,18.8757229547572,2.5467181747232916,1,none (no term survived FDR + temporal holdout)
4,Jaxon Smith-Njigba,SEA,5.9,3,vet,17.608403361344536,2.3333333333333335,18.48881982383031,18.379251629089865,11.253901674718662,0.6216250192415077,18.087581930614007,2.6449398566109257,-1,none (no term survived FDR + temporal holdout)
5,Rashee Rice,KC,11.4,7,vet,18.79970238095238,2.3333333333333335,18.48881982383031,16.94065359477124,11.253901674718662,0.6216250192415077,17.644071143471628,2.6449398566109257,2,none (no term survived FDR + temporal holdout)
6,CeeDee Lamb,DAL,11.3,6,vet,17.72019257703081,2.9076923076923076,14.836707266036667,17.439970562535834,11.253901674718662,0.5686608273393231,17.560841294429405,2.5297535526491326,0,none (no term survived FDR + temporal holdout)
7,Drake London,ATL,10.6,5,vet,15.664333660130719,2.6470588235294117,16.297552289154122,17.943725961538462,11.253901674718662,0.5915314781762337,17.012665957525968,2.5801234646613955,-2,none (no term survived FDR + temporal holdout)
8,A.J. Brown,NE,17.5,9,vet,16.283783478564047,2.953488372093023,14.606652931687462,16.42261932202348,11.253901674718662,0.5648236533979488,16.362201246889388,2.5212040494366756,1,none (no term survived FDR + temporal holdout)
9,Justin Jefferson,MIN,13.3,8,vet,15.596991129785248,2.9076923076923076,14.836707266036667,16.42261932202348,11.253901674718662,0.5686608273393231,16.06649354065811,2.5297535526491326,-1,none (no term survived FDR + temporal holdout)
10,Nico Collins,HOU,23.2,12,vet,15.530952380952382,2.8181818181818183,15.307947596074555,15.39774859415863,11.253901674718662,0.5763133221641618,15.454185264060428,2.5467181747232916,2,none (no term survived FDR + temporal holdout)
11,Davante Adams,LAR,41.2,20,vet,16.807252616496957,2.9985355137905785,14.387216489692834,14.318447404719464,11.253901674718662,0.5610994184201188,15.410785459607645,2.5128783664638132,9,none (no term survived FDR + temporal holdout)
12,Chris Olave,NO,20.1,10,vet,15.070611111111111,2.6470588235294117,16.297552289154122,15.39774859415863,11.253901674718662,0.5915314781762337,15.264123230025064,2.5801234646613955,-2,none (no term survived FDR + temporal holdout)
13,George Pickens,DAL,21.6,11,vet,14.679516806722688,2.6470588235294117,16.297552289154122,15.39774859415863,11.253901674718662,0.5915314781762337,15.10437351761783,2.5801234646613955,-2,none (no term survived FDR + temporal holdout)
14,Malik Nabers,NYG,33.9,18,vet,15.59666666666667,1.8,23.96698866052077,14.50235995970254,11.253901674718662,0.680476513580384,14.852016653924087,2.767312012728055,4,none (no term survived FDR + temporal holdout)
15,Tee Higgins,CIN,39.2,19,vet,15.041179138321995,2.9076923076923076,14.836707266036667,14.318447404719464,11.253901674718662,0.5686608273393231,14.630189912747197,2.5297535526491326,4,none (no term survived FDR + temporal holdout)
16,Garrett Wilson,NYJ,28.5,14,vet,14.05036414565826,2.6470588235294117,16.297552289154122,14.881502854988153,11.253901674718662,0.5915314781762337,14.54200885495766,2.5801234646613955,-2,none (no term survived FDR + temporal holdout)
17,Zay Flowers,BAL,26.6,13,vet,13.793508403361345,2.3333333333333335,18.48881982383031,14.881502854988153,11.253901674718662,0.6216250192415077,14.469832975288512,2.6449398566109257,-4,none (no term survived FDR + temporal holdout)
18,DeVonta Smith,PHI,29.1,15,vet,13.246547949204496,2.8181818181818183,15.307947596074555,14.881502854988153,11.253901674718662,0.5763133221641618,14.18879424254527,2.5467181747232916,-3,none (no term survived FDR + temporal holdout)
19,Tetairoa McMillan,CAR,33.9,17,soph,12.552941176470588,1.0,39.731751511831725,14.50235995970254,7.852390682341091,0.834978832857836,14.180664596844746,2.5605819664843597,-2,none (no term survived FDR + temporal holdout)
20,Emeka Egbuka,TB,33.7,16,soph,11.511764705882353,1.0,39.731751511831725,14.564388227965946,7.852390682341091,0.834978832857836,14.060640731506087,2.5605819664843597,-4,none (no term survived FDR + temporal holdout)
21,Ladd McConkey,LAC,44.2,22,vet,12.55625,1.8,23.96698866052077,13.894337842606388,11.253901674718662,0.680476513580384,13.466787350001091,2.767312012728055,1,none (no term survived FDR + temporal holdout)
22,Terry McLaurin,WAS,42.6,21,vet,12.817073380533317,2.953488372093023,14.606652931687462,13.894337842606388,11.253901674718662,0.5648236533979488,13.425537829677205,2.5212040494366756,-1,none (no term survived FDR + temporal holdout)
23,Jameson Williams,DET,45.8,23,vet,12.649264069264069,2.6470588235294117,16.297552289154122,13.894337842606388,11.253901674718662,0.5915314781762337,13.385764398847712,2.5801234646613955,0,none (no term survived FDR + temporal holdout)
24,Jaylen Waddle,DEN,48.8,24,vet,12.542768003975784,2.8181818181818183,15.307947596074555,13.894337842606388,11.253901674718662,0.5763133221641618,13.321695707813866,2.5467181747232916,0,none (no term survived FDR + temporal holdout)
25,DJ Moore,BUF,51.3,26,vet,12.27039600153787,2.9766536964980546,14.492979025303148,13.894337842606388,11.253901674718662,0.5629023256899183,13.184516640660508,2.5169122801132344,1,none (no term survived FDR + temporal holdout)
26,Mike Evans,SF,60.0,30,vet,13.662406955944771,2.9985355137905785,14.387216489692834,12.543744208908237,11.253901674718662,0.5610994184201188,13.034725939174319,2.5128783664638132,4,none (no term survived FDR + temporal holdout)
27,Rome Odunze,CHI,49.7,25,vet,10.957843137254903,1.8,23.96698866052077,13.894337842606388,11.253901674718662,0.680476513580384,12.956058816499738,2.767312012728055,-2,none (no term survived FDR + temporal holdout)
28,Courtland Sutton,DEN,59.8,29,vet,13.1324141950898,2.9766536964980546,14.492979025303148,12.543744208908237,11.253901674718662,0.5629023256899183,12.801050490804347,2.5169122801132344,1,none (no term survived FDR + temporal holdout)
29,Luther Burden III,CHI,53.4,27,soph,9.715384615384615,1.0,39.731751511831725,13.173062271062271,7.852390682341091,0.834978832857836,12.602472268720962,2.5605819664843597,-2,none (no term survived FDR + temporal holdout)
30,Alec Pierce,IND,55.5,28,vet,10.748392857142857,2.6470588235294117,16.297552289154122,12.543744208908237,11.253901674718662,0.5915314781762337,11.810399696098331,2.5801234646613955,-2,none (no term survived FDR + temporal holdout)
