rank_model,player,team,adp,pos_adp_rank,tier,n_seasons,mu_hat,n_eff,sigma_W,V,m_adp,tau2,B,theta_star,post_SD,board_value,delta_rank_vs_adp,thin_data_flag,arm_ii_adopted,gsis_id
1,Josh Allen,BUF,26.7,1,vet,8,23.1838,2.9767,8.974,16.093224653007262,21.533993551111884,8.540768288565792,0.653293385736417,22.105992359196108,2.362123500587421,21.533993551111884,0,,False,00-0034857
2,Drake Maye,NE,49.6,2,vet,2,18.7229,1.8,5.3663,26.61372323589262,19.516798543728473,8.540768288565792,0.7570504388429674,19.32392124092643,2.5427922410049217,19.516798543728473,0,,False,00-0039851
3,Lamar Jackson,BAL,52.8,3,vet,8,19.9063,2.9767,8.0096,16.093224653007262,19.516798543728473,8.540768288565792,0.653293385736417,19.65184127488311,2.362123500587421,19.516798543728473,0,,False,00-0034796
4,Joe Burrow,CIN,57.8,4,vet,6,18.2664,2.9077,8.1542,16.47511841820226,19.516798543728473,8.540768288565792,0.6585862260778834,19.089895258007417,2.3716729021878646,19.516798543728473,0,,False,00-0036442
5,Dak Prescott,DAL,67.3,5,vet,10,17.7767,2.9941,8.4084,15.999700018238109,19.516798543728473,8.540768288565792,0.6519720739722866,18.91119565647081,2.3597335473338883,19.516798543728473,0,,False,00-0033077
6,Jayden Daniels,WAS,71.3,6,vet,2,18.1876,1.8,7.9591,26.61372323589262,17.634423450195044,8.540768288565792,0.7570504388429674,17.76881745021252,2.5427922410049217,17.634423450195044,0,,False,00-0039910
7,Jalen Hurts,PHI,74.6,7,vet,6,20.439,2.9077,7.5714,16.47511841820226,17.634423450195044,8.540768288565792,0.6585862260778834,18.591944514317422,2.3716729021878646,17.634423450195044,0,,False,00-0036389
8,Brock Purdy,SF,80.1,8,vet,4,18.729,2.6471,8.2043,18.097050290735794,17.634423450195044,8.540768288565792,0.6793743352842625,17.985372784058516,2.40881273221089,17.634423450195044,0,,False,00-0037834
9,Matthew Stafford,LAR,83.6,9,vet,12,17.5954,2.9985,6.4361,15.976222052561853,17.634423450195044,8.540768288565792,0.6516387953933107,17.62082919407719,2.359130339615512,17.634423450195044,0,,False,00-0026498
10,Trevor Lawrence,JAX,90.4,10,vet,5,17.6313,2.8182,7.4193,16.99833291626099,17.634423450195044,8.540768288565792,0.6655807023094602,17.633378908174446,2.3842337460421086,17.634423450195044,0,,False,00-0036971
11,Patrick Mahomes,KC,96.2,11,vet,9,19.7244,2.9883,7.1059,16.0307538816741,17.634423450195044,8.540768288565792,0.6524119169584841,18.36087439274347,2.3605293922002835,17.634423450195044,0,,False,00-0033873
12,Jaxson Dart,NYG,104.3,12,soph,1,20.1317,1.0,7.7847,49.5820100337899,17.634423450195044,17.020112734744988,0.744450896949701,18.272600232566244,3.559583991362745,17.634423450195044,0,single season: n_eff = 1,False,00-0040691
13,Jared Goff,DET,105.4,13,vet,10,17.6182,2.9941,7.9762,15.999700018238109,17.634423450195044,8.540768288565792,0.6519720739722866,17.628777236470647,2.3597335473338883,17.634423450195044,0,,False,00-0033106
14,Caleb Williams,CHI,106.4,14,vet,2,17.4686,1.8,8.015,26.61372323589262,17.634423450195044,8.540768288565792,0.7570504388429674,17.59413671574061,2.5427922410049217,17.634423450195044,0,,False,00-0039918
15,Justin Herbert,LAC,108.5,15,vet,6,17.772,2.9077,7.7042,16.47511841820226,17.634423450195044,8.540768288565792,0.6585862260778834,17.68139397926714,2.3716729021878646,17.634423450195044,0,,False,00-0036355
16,Bo Nix,DEN,119.7,16,vet,2,18.1741,1.8,7.9345,26.61372323589262,17.614257741334594,8.540768288565792,0.7570504388429674,17.750271172394516,2.5427922410049217,17.614257741334594,0,,False,00-0039732
17,Baker Mayfield,TB,128.1,17,vet,8,16.9162,2.9767,6.3826,16.093224653007262,15.920930567961449,8.540768288565792,0.653293385736417,16.265997063023576,2.362123500587421,15.920930567961449,0,,False,00-0034855
18,Tyler Shough,NO,136.7,18,soph,1,15.796,1.0,6.3175,49.5820100337899,15.693481275118744,17.020112734744988,0.744450896949701,15.71967984330801,3.559583991362745,15.693481275118744,0,single season: n_eff = 1,False,00-0040743
19,Sam Darnold,SEA,140.1,19,vet,8,14.6325,2.9767,7.9408,16.093224653007262,15.693481275118744,8.540768288565792,0.653293385736417,15.325632049425264,2.362123500587421,15.693481275118744,0,,False,00-0034869
20,Kyler Murray,MIN,145.0,20,vet,7,16.9978,2.9535,7.1091,16.219638335739536,15.693481275118744,8.540768288565792,0.6550634883280957,16.14338842618763,2.365321430188694,15.693481275118744,0,,False,00-0035228
21,Jordan Love,GB,148.4,21,vet,5,15.2994,2.8182,6.6662,16.99833291626099,15.56658179584737,8.540768288565792,0.6655807023094602,15.477231047324395,2.3842337460421086,15.56658179584737,0,,False,00-0036264
22,Daniel Jones,IND,158.5,22,vet,7,15.3445,2.9535,7.969,16.219638335739536,15.56658179584737,8.540768288565792,0.6550634883280957,15.489977675881946,2.365321430188694,15.56658179584737,0,,False,00-0035710
23,C.J. Stroud,HOU,159.3,23,vet,3,14.8445,2.3333,6.9214,20.530879794542802,15.56658179584737,8.540768288565792,0.7062165769154242,15.354446134116273,2.4559381394853452,15.56658179584737,0,,False,00-0039163
24,Malik Willis,MIA,159.9,24,vet,3,18.5738,2.0864,9.4169,22.9604590800454,15.56658179584737,8.540768288565792,0.7288750629102129,16.381913642263513,2.4950256559061557,15.56658179584737,0,,False,00-0038128
