rank_model,player,team,adp,rb_adp_rank,tier,n_seasons,mu_hat,n_eff,V,m_adp,tau2,B,theta_star,post_SD,p_avail,SV,board_value,delta_rank_vs_adp,thin_data_flag,arm_ii_adopted,arm_iii_adopted
1,Jahmyr Gibbs,DET,1.6,1,vet,3,20.7376,2.3333,16.989144013370606,19.40125646412411,12.991944015840865,0.5666620236336178,19.980344867690864,2.7133081813445106,0.8370718336427194,16.72498391521189,19.40125646412411,0,,False,False
2,Bijan Robinson,ATL,2.0,2,vet,3,20.4032,2.3333,16.989144013370606,19.40125646412411,12.991944015840865,0.5666620236336178,19.835436648393944,2.7133081813445106,0.835520819332439,16.572920280282798,19.40125646412411,0,,False,False
3,Christian McCaffrey,SF,5.3,3,vet,9,21.0408,2.9883,13.265324675031833,18.801468895250412,12.991944015840865,0.5052058091496393,19.90947691727103,2.5619534712694723,0.6824111701398422,13.586449439987101,18.801468895250412,0,,False,False
4,Jonathan Taylor,IND,7.5,4,vet,6,19.1292,2.9077,13.633032887298423,16.783941579810566,12.991944015840865,0.5120392380768971,17.928335665432776,2.579221804151178,0.78259331448999,14.030595631700137,16.783941579810566,0,,False,False
5,De'Von Achane,MIA,9.4,5,vet,3,19.0455,2.3333,16.989144013370606,16.783941579810566,12.991944015840865,0.5666620236336178,17.763960729049806,2.7133081813445106,0.8289406977386046,14.725270001339718,16.783941579810566,0,,False,False
6,Chase Brown,CIN,12.2,6,vet,3,15.1017,2.3333,16.989144013370606,16.783941579810566,12.991944015840865,0.5666620236336178,16.05496241785607,2.7133081813445106,0.8082309616029848,12.976117713483594,16.783941579810566,0,,False,False
7,Ashton Jeanty,LV,14.1,7,soph,1,14.4176,1.0,43.81668066802514,15.781450991037447,14.658756969839503,0.7493177039457075,15.439557693128258,3.314221796340473,0.8233419735072148,12.712035901138721,15.781450991037447,0,single season: n_eff = 1,False,False
8,James Cook,BUF,15.1,8,vet,4,16.2628,2.6471,14.975168949566555,15.48991409805029,12.991944015840865,0.535456375782848,15.848953316048348,2.637540380182986,0.8017711458274689,12.707233460374146,15.48991409805029,0,,False,False
9,Derrick Henry,BAL,16.1,9,vet,10,17.4879,2.9941,13.239627843558207,15.48991409805029,12.991944015840865,0.5047211015230982,16.47947435474032,2.560724173862079,0.7198400866102673,11.86258624680795,15.48991409805029,0,,False,False
10,Saquon Barkley,PHI,18.7,10,vet,8,16.6968,2.9767,13.31701875445884,15.48991409805029,12.991944015840865,0.5061780227038246,16.085900880521976,2.564417386662537,0.7602356782402832,12.229075766009592,15.48991409805029,0,,False,False
11,Omarion Hampton,LAC,19.8,11,soph,1,15.0778,1.0,43.81668066802514,14.434106455309395,14.658756969839503,0.7493177039457075,14.595469031047761,3.314221796340473,0.7864000418139123,11.477877456309622,14.434106455309395,0,single season: n_eff = 1,False,False
12,Josh Jacobs,GB,24.6,12,vet,7,16.1148,2.9535,13.421625097815348,14.434106455309395,12.991944015840865,0.5081337186982491,15.260782939144221,2.5693666195949314,0.7766739261280114,11.852652201132516,14.434106455309395,0,,False,False
13,Jeremiyah Love,ARI,25.6,13,rookie,0,,0.0,inf,14.434106455309395,11.6785606826606,1.0,14.434106455309395,3.4173909174486607,0.8317548361271903,12.005637849378285,14.434106455309395,0,no NFL rows: full shrinkage to market,False,False
14,Kenneth Walker III,KC,26.5,14,vet,4,13.0856,2.6471,14.975168949566555,14.434106455309395,12.991944015840865,0.535456375782848,13.807666379279745,2.637540380182986,0.7925453413369307,10.943201663632728,14.434106455309395,0,,False,False
15,Javonte Williams,DAL,36.7,18,vet,5,12.7406,2.8182,14.065988832019597,13.416324058711414,12.991944015840865,0.5198471335969713,13.09187321502364,2.5988122010809476,0.8106455966406111,10.612869373536073,13.416324058711414,3,,False,False
16,Travis Etienne,NO,37.1,19,vet,4,13.2994,2.6471,14.975168949566555,13.416324058711414,12.991944015840865,0.535456375782848,13.362007732719434,2.637540380182986,0.7878401524432858,10.527126209094043,13.416324058711414,3,,False,False
