rank_model,player,team,adp,pos_adp_rank,tier,n_seasons,mu_hat,n_eff,sigma_W,V,m_adp,tau2,B,theta_star,post_SD,board_value,delta_rank_vs_adp,thin_data_flag,arm_ii_adopted,gsis_id
1,Trey McBride,ARI,35.3,1,vet,4,16.0616,2.6471,7.4081,10.571881591100038,13.476185064935066,6.695175531217138,0.612257289485432,14.47866085966199,2.024640714638573,13.476185064935066,0,,False,00-0037744
2,Brock Bowers,LV,40.7,2,vet,2,14.9399,1.8,8.87,15.547126533222729,12.894331232492998,6.695175531217138,0.698989092414084,13.510069743729684,2.163297175174611,12.894331232492998,0,,False,00-0039338
3,Colston Loveland,CHI,60.8,3,soph,1,11.0067,1.0,8.3246,23.854679408424037,11.629775407394895,8.982491813344657,0.7264535439828048,11.45933533787055,2.5544790098180012,11.629775407394895,0,single season: n_eff = 1,False,00-0040126
4,Tyler Warren,IND,65.8,4,soph,1,11.0882,1.0,4.8784,23.854679408424037,11.629775407394895,8.982491813344657,0.7264535439828048,11.481629374035952,2.5544790098180012,11.629775407394895,0,single season: n_eff = 1,False,00-0040128
5,Kyle Pitts,ATL,78.5,5,vet,5,10.3472,2.8182,6.9958,9.930036108083497,10.353369451689588,6.695175531217138,0.5972878014141912,10.350884938235605,1.9997366509425119,10.353369451689588,0,,False,00-0036970
6,Harold Fannin Jr.,CLE,81.5,6,soph,1,11.65,1.0,5.7291,23.854679408424037,10.353369451689588,8.982491813344657,0.7264535439828048,10.708058142943534,2.5544790098180012,10.353369451689588,0,single season: n_eff = 1,False,00-0040663
7,Sam LaPorta,DET,87.6,7,vet,3,11.8916,2.3333,6.7075,11.993668949471097,10.353369451689588,6.695175531217138,0.6417555115226373,10.904432067629305,2.072840031881404,10.353369451689588,0,,False,00-0039065
8,Travis Kelce,KC,99.6,8,vet,12,12.8195,2.9985,7.3814,9.332942391129201,10.353369451689588,6.695175531217138,0.5822856081010764,11.38350767402043,1.9744630549945015,10.353369451689588,0,,False,00-0030506
9,Dallas Goedert,PHI,105.3,9,vet,8,11.7846,2.9767,6.4034,9.401292625995536,10.353369451689588,6.695175531217138,0.5840593435885442,10.948676425429948,1.9774680341216047,10.353369451689588,0,,False,00-0034351
10,Tucker Kraft,GB,110.6,10,vet,3,12.4089,2.3333,6.6384,11.993668949471097,10.059453965152493,6.695175531217138,0.6417555115226373,10.901130058111605,2.072840031881404,10.059453965152493,0,,False,00-0038996
11,George Kittle,SF,121.0,11,vet,9,14.7134,2.9883,8.3179,9.36479863460861,10.059453965152493,6.695175531217138,0.5831141780125713,11.99961808337503,1.975867347909662,10.059453965152493,0,,False,00-0033288
12,Mark Andrews,BAL,138.6,12,vet,8,10.5989,2.9767,7.5275,9.401292625995536,10.059453965152493,6.695175531217138,0.5840593435885442,10.283831502985523,1.9774680341216047,10.059453965152493,0,,False,00-0034753
13,Isaiah Likely,NYG,139.2,13,vet,4,7.5689,2.6471,6.1491,10.571881591100038,10.059453965152493,6.695175531217138,0.612257289485432,9.09375982002146,2.024640714638573,10.059453965152493,0,,False,00-0037838
14,Jake Ferguson,DAL,141.1,14,vet,4,10.2421,2.6471,5.5782,10.571881591100038,10.059453965152493,6.695175531217138,0.612257289485432,10.130273633769004,2.024640714638573,10.059453965152493,0,,False,00-0038041
15,Pat Freiermuth,PIT,152.0,15,vet,5,8.9306,2.8182,5.3876,9.930036108083497,9.359024349638846,6.695175531217138,0.5972878014141912,9.186492637868092,1.9997366509425119,9.359024349638846,0,,False,00-0036894
16,T.J. Hockenson,MIN,153.1,16,vet,7,9.5258,2.9535,6.7994,9.475140599221572,9.359024349638846,6.695175531217138,0.5859588967086264,9.428076323916514,1.9806811120275234,9.359024349638846,0,,False,00-0035229
17,Dalton Kincaid,BUF,153.4,17,vet,3,10.108,2.3333,5.1559,11.993668949471097,9.359024349638846,6.695175531217138,0.6417555115226373,9.627340748384478,2.072840031881404,9.359024349638846,0,,False,00-0038933
18,Dalton Schultz,HOU,157.6,18,vet,7,9.509,2.9307,6.0246,9.548854457911391,9.359024349638846,6.695175531217138,0.5878377757429685,9.420838647276094,1.9838541006030233,9.359024349638846,0,,False,00-0034383
19,Hunter Henry,NE,158.1,19,vet,9,9.9315,2.9709,6.1828,9.419646490895323,9.359024349638846,6.695175531217138,0.5845330763175578,9.596869046977499,1.9782698374459418,9.359024349638846,0,,False,00-0033090
20,Oronde Gadsden II,LAC,158.6,20,soph,1,9.7923,1.0,7.5977,23.854679408424037,9.359024349638846,8.982491813344657,0.7264535439828048,9.477545368273685,2.5544790098180012,9.359024349638846,0,single season: n_eff = 1,False,00-0040189
21,Kenyon Sadiq,NYJ,159.6,21,rookie,0,,0.0,,inf,9.359024349638846,10.681481772496603,1.0,9.359024349638846,3.268253627320959,9.359024349638846,0,no NFL rows: full shrinkage to market,False,SAD482340
22,Juwan Johnson,NO,160.3,22,vet,6,9.2564,2.9077,5.5809,9.624386202084434,9.359024349638846,6.695175531217138,0.5897453840592414,9.31692223649159,1.9870704227585108,9.359024349638846,0,,False,00-0036040
23,Brenton Strange,JAX,163.8,23,vet,3,8.8983,2.3333,4.839,11.993668949471097,6.988390887251563,6.695175531217138,0.6417555115226373,7.6726053003863806,2.072840031881404,6.988390887251563,0,,False,00-0038935
24,Chig Okonkwo,WAS,164.8,24,vet,4,7.1616,2.6471,4.6155,10.571881591100038,5.751710643142784,6.695175531217138,0.612257289485432,6.2983849638962415,2.024640714638573,5.751710643142784,0,,False,00-0037809
