rank_model,name,team,adp,adp_rank,tier,n_seasons,n_games,mu_hat,n_eff,m_deep,tau2,B,theta_star,post_SD,arm,board_value,delta_rank_vs_adp,thin_data_flag,team_2025,g_2025,ppg_2025,targets,tgt_share_2025,ay_share_2025,snap_share_2025,rz_tgt_share_2025,i10_tgt_share_2025,rec_tds,team_vacated_share_2026
1,Puka Nacua,LAR,2.9,1,vet,3,44,21.267494270435446,2.3333333333333335,19.556530987394957,10.782394134943546,0.6316382999991158,20.186784330974845,2.6097074742806288,theta_star,20.186784330974845,0,,LA,16.0,23.4375,166.0,0.2857142857142857,0.2885040530582166,0.6826291079812207,0.1559633027522936,0.17543859649122806,10.0,0.0258175559380378
2,Ja'Marr Chase,CIN,3.9,2,vet,5,78,20.23370018975332,2.8181818181818183,19.556530987394957,10.782394134943546,0.5867285202276731,19.836385705709844,2.515221293506193,theta_star,19.836385705709844,0,,CIN,16.0,19.6,185.0,0.3042763157894737,0.3335457828765668,0.9435946462715104,0.27848101265822783,0.21052631578947367,8.0,0.0674342105263157
3,Amon-Ra St. Brown,DET,7.0,4,vet,5,79,19.551040480708412,2.8181818181818183,18.379251629089865,10.782394134943546,0.5867285202276731,18.863518541778976,2.515221293506193,theta_star,18.863518541778976,1,,DET,17.0,19.058823529411764,172.0,0.3127272727272727,0.372454448017149,0.8544131028207461,0.3888888888888889,0.5,11.0,0.1454545454545454
4,Jaxon Smith-Njigba,SEA,5.9,3,vet,3,51,17.608403361344536,2.3333333333333335,18.379251629089865,10.782394134943546,0.6316382999991158,18.09530065074046,2.6097074742806288,theta_star,18.09530065074046,-1,,SEA,17.0,21.170588235294115,163.0,0.3582417582417582,0.4877594465141032,0.7791353383458647,0.2786885245901639,0.2692307692307692,10.0,0.0879120879120879
5,Rashee Rice,KC,11.4,7,vet,3,27,18.79970238095238,2.3333333333333335,16.94065359477124,10.782394134943546,0.6316382999991158,17.625455966033506,2.6097074742806288,theta_star,17.625455966033506,2,,KC,8.0,18.7625,78.0,0.1420765027322404,0.0745643061989852,0.7319223985890653,0.23076923076923078,0.3181818181818182,5.0,0.3169398907103825
6,CeeDee Lamb,DAL,11.3,6,vet,6,93,17.72019257703081,2.9076923076923076,17.439970562535834,10.782394134943546,0.579126763028035,17.55790850884714,2.4988743491945176,theta_star,17.55790850884714,0,,DAL,13.0,15.453846153846154,117.0,0.1927512355848435,0.2767804300651016,0.7305389221556886,0.16831683168316833,0.14893617021276595,3.0,0.0939044481054365
7,Drake London,ATL,10.6,5,vet,4,60,15.664333660130719,2.6470588235294117,17.943725961538462,10.782394134943546,0.6018310388772187,17.036142696895674,2.5473867911679027,theta_star,17.036142696895674,-2,,ATL,12.0,16.825,112.0,0.2157996146435452,0.2928057553956834,0.9020356234096693,0.25,0.32,7.0,0.3179190751445087
8,A.J. Brown,NE,17.5,9,vet,7,103,16.283783478564047,2.953488372093023,16.42261932202348,10.782394134943546,0.5753131613547278,16.36365756657404,2.490633103599775,theta_star,16.36365756657404,1,,PHI,15.0,14.686666666666667,121.0,0.2607758620689655,0.3178674994423377,0.9054779806659506,0.22033898305084745,0.22727272727272727,7.0,0.2759336099585062
9,Justin Jefferson,MIN,13.3,8,vet,6,94,15.596991129785248,2.9076923076923076,16.42261932202348,10.782394134943546,0.579126763028035,16.075134512220863,2.4988743491945176,theta_star,16.075134512220863,-1,,MIN,17.0,11.852941176470589,141.0,0.3012820512820512,0.3827521959009848,0.94005994005994,0.24,0.35714285714285715,2.0,0.1794871794871795
10,Nico Collins,HOU,23.2,12,vet,5,63,15.530952380952382,2.8181818181818183,15.39774859415863,10.782394134943546,0.5867285202276731,15.452797920238162,2.515221293506193,theta_star,15.452797920238162,2,,HOU,15.0,15.08,120.0,0.2169981916817359,0.3208814270724029,0.7687747035573123,0.24,0.2571428571428571,6.0,0.1844484629294756
