spec,n_obs,n_players,n_player_seasons,n_team_seasons,estimator,s2P,s2S,s2T,s2G,n_teammate_pairs,icc_P,icc_S,icc_T,icc_G,rho_max,converged,resid_skew
headline_2021_2025_excl,1292,24,95,91,MoM_covmatch,4.74136,-17.65485,19.9182,58.22148,194.0,0.07269,-0.27067,0.30537,0.89261,0.45461,,
headline_2021_2025_excl,1292,24,95,91,REML_MixedLM,4.03376,0.18314,3.23127,57.85605,,0.06177,0.0028,0.04948,0.88595,0.37173,True,0.24902
headline_2021_2025_excl,1292,24,95,91,MoM_3way_noTeam,4.74136,2.26335,0.0,58.22148,,0.07269,0.0347,0.0,0.89261,0.45461,,
headline_2021_2025_excl,1292,24,95,91,REML_3way_noTeam,4.09031,3.40726,0.0,57.85172,,0.06259,0.05214,0.0,0.88527,0.37524,True,0.24975
sens_a_2014_2025_seasonFE,1831,24,135,131,MoM_covmatch,5.00076,-19.28149,22.22917,58.46871,194.0,0.07529,-0.29031,0.33469,0.88033,0.43913,,
sens_a_2014_2025_seasonFE,1831,24,135,131,REML_MixedLM,11.12482,1.24176,4.12151,57.39324,,0.15058,0.01681,0.05579,0.77683,0.56004,True,0.21399
sens_a_2014_2025_seasonFE,1831,24,135,131,MoM_3way_noTeam,5.00076,2.94767,0.0,58.46871,,0.07529,0.04438,0.0,0.88033,0.43913,,
sens_a_2014_2025_seasonFE,1831,24,135,131,REML_3way_noTeam,4.86037,4.38619,0.0,58.0562,,0.07222,0.06517,0.0,0.86261,0.38387,True,0.2189
sens_b_log1p_2021_2025,1292,24,95,91,MoM_covmatch,0.01554,-0.08093,0.08835,0.25241,194.0,0.05644,-0.2939,0.32084,0.91662,0.41108,,
sens_b_log1p_2021_2025,1292,24,95,91,REML_MixedLM,0.0149,0.00145,0.01245,0.24859,,0.0537,0.00521,0.04487,0.89622,0.34315,True,-1.41965
sens_b_log1p_2021_2025,1292,24,95,91,MoM_3way_noTeam,0.01554,0.00742,0.0,0.25241,,0.05644,0.02694,0.0,0.91662,0.41108,,
sens_b_log1p_2021_2025,1292,24,95,91,REML_3way_noTeam,0.01515,0.0138,0.0,0.2486,,0.05459,0.04973,0.0,0.89569,0.34768,True,-1.4214
sens_c_no_exclusions,1328,24,96,92,MoM_covmatch,5.93535,-6.75868,10.09002,62.16101,397.0,0.0831,-0.09462,0.14126,0.87026,0.45928,,
sens_c_no_exclusions,1328,24,96,92,REML_MixedLM,8.94817,0.00038,2.14656,61.89875,,0.12259,1e-05,0.02941,0.848,0.60722,True,0.21185
sens_c_no_exclusions,1328,24,96,92,MoM_3way_noTeam,5.93535,3.33134,0.0,62.16101,,0.0831,0.04664,0.0,0.87026,0.45928,,
sens_c_no_exclusions,1328,24,96,92,REML_3way_noTeam,7.9491,6.21215,0.0,59.73338,,0.10757,0.08407,0.0,0.80836,0.44974,True,0.22225
