spec,n_obs,n_players,n_player_seasons,n_team_seasons,estimator,s2P,s2S,s2T,s2G,n_teammate_pairs,icc_P,icc_S,icc_T,icc_G,rho_max,converged,resid_skew
headline_2021_2025_excl,1157,23,84,80,MoM_covmatch,3.91638,0.73662,1.01967,45.29583,695.0,0.07684,0.01445,0.02001,0.8887,0.46975,,
headline_2021_2025_excl,1157,23,84,80,REML_MixedLM,3.54489,1.31051,0.64089,45.4473,,0.06958,0.02572,0.01258,0.89211,0.43391,True,1.05231
headline_2021_2025_excl,1157,23,84,80,MoM_3way_noTeam,3.91638,1.75629,0.0,45.29583,,0.07684,0.03446,0.0,0.8887,0.46975,,
headline_2021_2025_excl,1157,23,84,80,REML_3way_noTeam,3.61291,1.71127,0.0,45.58022,,0.07097,0.03362,0.0,0.89541,0.45131,True,1.05116
sens_a_2014_2025_seasonFE,1497,23,110,106,MoM_covmatch,4.85388,0.29078,1.34872,45.16132,695.0,0.09397,0.00563,0.02611,0.87429,0.53048,,
sens_a_2014_2025_seasonFE,1497,23,110,106,REML_MixedLM,4.39777,0.0,2.62238,45.1774,,0.08425,0.0,0.05024,0.86551,0.45443,True,0.94485
sens_a_2014_2025_seasonFE,1497,23,110,106,MoM_3way_noTeam,4.85388,1.6395,0.0,45.16132,,0.09397,0.03174,0.0,0.87429,0.53048,,
sens_a_2014_2025_seasonFE,1497,23,110,106,REML_3way_noTeam,4.37028,2.59771,0.0,45.20557,,0.08376,0.04979,0.0,0.86645,0.45395,True,0.94119
sens_b_log1p_2021_2025,1157,23,84,80,MoM_covmatch,0.02953,-0.00889,0.02283,0.38954,695.0,0.06821,-0.02054,0.05273,0.8996,0.44489,,
sens_b_log1p_2021_2025,1157,23,84,80,REML_MixedLM,0.02791,0.00247,0.01218,0.38984,,0.06455,0.00571,0.02818,0.90155,0.42616,True,-0.66755
sens_b_log1p_2021_2025,1157,23,84,80,MoM_3way_noTeam,0.02953,0.01394,0.0,0.38954,,0.06821,0.03219,0.0,0.8996,0.44489,,
sens_b_log1p_2021_2025,1157,23,84,80,REML_3way_noTeam,0.02918,0.01373,0.0,0.39066,,0.0673,0.03167,0.0,0.90103,0.44284,True,-0.66991
sens_c_no_exclusions,1238,23,84,80,MoM_covmatch,4.31887,2.97692,0.10901,45.90963,974.0,0.08101,0.05584,0.00204,0.86111,0.42738,,
sens_c_no_exclusions,1238,23,84,80,REML_MixedLM,2.94132,0.13885,3.17753,46.07215,,0.05621,0.00265,0.06072,0.88042,0.32799,True,1.03694
sens_c_no_exclusions,1238,23,84,80,MoM_3way_noTeam,4.31887,3.08593,0.0,45.90963,,0.08101,0.05788,0.0,0.86111,0.42738,,
sens_c_no_exclusions,1238,23,84,80,REML_3way_noTeam,4.34884,3.39692,0.0,45.79593,,0.08122,0.06344,0.0,0.85533,0.41657,True,1.0251
